PRICE,BEDS,TYPE,BATH,PROPERTYSQFT,LATITUDE,LONGITUDE,ZIPCODE,BOROUGH,NEIGHBORHOOD,PRICE_PER_SQFT
2150000.0,8.0,Multi-family home,4.0,3200.0,40.614446,-73.9795824,11204,Brooklyn,Borough Park,671.875
1280000.0,7.0,Multi-family home,5.0,2460.0,40.688312,-73.856322,11421,Queens,Southwest Queens,520.3252032520326
199900.0,1.0,Co-op,1.0,2184.207862,40.8260352,-73.9256625,10451,Bronx,High Bridge - Morrisania,91.52059356519246
369000.0,2.0,Co-op,1.0,2184.207862,40.753455,-73.8209077,11355,Queens,Flushing - Clearview,168.93996511033527
699000.0,4.0,Multi-family home,3.0,1591.0,40.6847504,-73.8027331,11435,Queens,Jamaica,439.3463230672533
825000.0,2.0,Multi-family home,2.0,2184.207862,40.768457,-73.789417,11358,Queens,Flushing - Clearview,377.71130410847314
329000.0,2.0,Condo,1.0,837.0,40.6315346,-74.0856344,10304,Staten Island,Stapleton - St. George,393.0704898446834
889000.0,2.0,Multi-family home,2.0,1520.0,40.6233188,-74.1259917,10314,Staten Island,Willowbrook,584.8684210526316
769000.0,2.0,Multi-family home,2.0,2184.207862,40.6868333,-73.8309133,11419,Queens,Southwest Queens,352.07271861747375
1200000.0,4.0,Multi-family home,2.0,2536.0,40.6042861,-74.0012526,11214,Brooklyn,Bensonhurst - Bay Ridge,473.18611987381706
220500.0,2.0,Co-op,1.0,900.0,40.6481488,-74.0847983,10301,Staten Island,Stapleton - St. George,245.0
1999000.0,3.0,Multi-family home,3.0,2739.0,40.6281691,-74.0297598,11209,Brooklyn,Bensonhurst - Bay Ridge,729.8284045271997
1650000.0,2.0,Condo,2.0,1267.0,40.6866098,-73.9997131,11231,Brooklyn,Downtown - Heights - Park Slope,1302.2888713496448
1049000.0,4.0,Multi-family home,4.0,2554.0,40.5016233,-74.2417531,10307,Staten Island,South Beach - Tottenville,410.72826938136257
998800.0,3.0,House,4.0,2400.0,40.6175,-74.103996,10301,Staten Island,Stapleton - St. George,416.1666666666667
998800.0,3.0,House,4.0,2400.0,40.618648,-74.1019085,10301,Staten Island,Stapleton - St. George,416.1666666666667
849000.0,1.0,Co-op,1.0,2184.207862,40.7802357,-73.9846328,10023,Manhattan,Upper West Side,388.69926931890143
559500.0,1.0,Co-op,1.0,800.0,40.5751942,-73.9669983,11235,Brooklyn,Coney Island - Sheepshead Bay,699.375
750000.0,1.0,Co-op,1.0,835.0,40.7643711,-73.9593578,10065,Unknown,Unknown,898.2035928143713
1900000.0,2.0,Condo,2.0,1029.0,40.7193408,-73.9856438,10002,Manhattan,Union Square - Lower East Side,1846.45286686103
1250000.0,2.0,Condo,2.0,1201.0,40.6400234,-73.9676099,11218,Brooklyn,Borough Park,1040.7993338884264
